epoch,train_loss,train_dice_loss,train_ce_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,1.27493,0.93412,1.61574,0.23446,0.0002999,84.8,0.0545,0.2112,0.5558,0.0236,0.4089,0.3453,0.0418
2,0.89219,0.83072,0.95366,,0.0002997,84.2,,,,,,,
3,0.58193,0.65192,0.51193,,0.0002993,87.2,,,,,,,
4,0.38783,0.43338,0.34228,,0.0002988,86.8,,,,,,,
5,0.28028,0.29805,0.2625,0.62876,0.0002982,99.5,0.4402,0.6113,0.7988,0.5157,0.6896,0.8875,0.4583
6,0.22099,0.2309,0.21107,,0.0002973,101.7,,,,,,,
7,0.1862,0.19297,0.17942,,0.0002964,84.3,,,,,,,
8,0.17042,0.17397,0.16686,,0.0002953,85.9,,,,,,,
9,0.14718,0.15246,0.1419,,0.000294,84.5,,,,,,,
10,0.13667,0.1423,0.13104,0.55287,0.0002927,89.0,0.4031,0.4542,0.4937,0.4748,0.6375,0.8562,0.5507
11,0.12362,0.1298,0.11744,,0.0002911,87.0,,,,,,,
12,0.11273,0.11935,0.1061,,0.0002895,86.9,,,,,,,
13,0.10335,0.11075,0.09594,,0.0002877,86.5,,,,,,,
14,0.0998,0.1066,0.09299,,0.0002857,86.9,,,,,,,
15,0.09138,0.09943,0.08333,0.72545,0.0002837,87.4,0.602,0.8109,0.8609,0.6145,0.7575,0.7465,0.6858
16,0.09064,0.09787,0.08341,,0.0002814,86.6,,,,,,,
17,0.0845,0.09126,0.07774,,0.0002791,85.2,,,,,,,
18,0.0891,0.09406,0.08414,,0.0002766,87.0,,,,,,,
19,0.07761,0.08476,0.07047,,0.0002741,85.2,,,,,,,
20,0.07632,0.08373,0.06891,0.83644,0.0002714,86.1,0.7038,0.8708,0.9323,0.8078,0.8728,0.9392,0.7284
21,0.07212,0.07925,0.06499,,0.0002685,86.8,,,,,,,
22,0.07341,0.08012,0.0667,,0.0002656,86.3,,,,,,,
23,0.06896,0.07586,0.06205,,0.0002625,86.8,,,,,,,
24,0.0673,0.07431,0.06029,,0.0002593,87.0,,,,,,,
25,0.06529,0.07229,0.0583,0.81346,0.0002561,89.2,0.7109,0.8347,0.9447,0.7008,0.8747,0.9103,0.7181
26,0.06403,0.0711,0.05695,,0.0002527,88.7,,,,,,,
27,0.06201,0.06888,0.05514,,0.0002492,87.8,,,,,,,
28,0.06024,0.06697,0.0535,,0.0002456,89.0,,,,,,,
29,0.05834,0.06491,0.05176,,0.0002419,88.6,,,,,,,
30,0.05788,0.06438,0.05138,0.82077,0.0002382,97.1,0.7313,0.8122,0.9191,0.7547,0.8471,0.9387,0.7423
31,0.056,0.0626,0.04939,,0.0002343,85.7,,,,,,,
32,0.05676,0.06264,0.05087,,0.0002304,86.0,,,,,,,
33,0.05799,0.06462,0.05136,,0.0002264,87.7,,,,,,,
34,0.05408,0.06048,0.04768,,0.0002223,85.3,,,,,,,
35,0.05322,0.05924,0.04721,0.82211,0.0002181,85.1,0.6983,0.8446,0.9199,0.7324,0.8676,0.9312,0.7609
36,0.05073,0.0572,0.04427,,0.0002139,84.7,,,,,,,
37,0.05007,0.05615,0.04398,,0.0002096,84.5,,,,,,,
38,0.0488,0.0553,0.0423,,0.0002052,84.6,,,,,,,
39,0.04807,0.05425,0.0419,,0.0002008,84.1,,,,,,,
40,0.04793,0.05421,0.04164,0.82221,0.0001964,84.1,0.6966,0.8303,0.9239,0.7807,0.85,0.9313,0.7426
41,0.0466,0.05268,0.04053,,0.0001918,84.0,,,,,,,
42,0.0462,0.05198,0.04041,,0.0001873,84.1,,,,,,,
43,0.04458,0.05058,0.03858,,0.0001827,83.8,,,,,,,
44,0.04391,0.04987,0.03796,,0.0001781,82.9,,,,,,,
45,0.0442,0.05036,0.03805,0.83094,0.0001735,79.6,0.7272,0.8285,0.9143,0.7883,0.8824,0.9397,0.7363
46,0.04373,0.04957,0.03788,,0.0001688,79.7,,,,,,,
47,0.04263,0.04848,0.03678,,0.0001641,79.6,,,,,,,
48,0.04158,0.04739,0.03577,,0.0001594,79.7,,,,,,,
49,0.04056,0.04646,0.03465,,0.0001547,79.9,,,,,,,
50,0.04083,0.04662,0.03504,0.82965,0.00015,79.9,0.7165,0.8491,0.8993,0.7834,0.8613,0.934,0.764
51,0.03943,0.04503,0.03383,,0.0001453,79.8,,,,,,,
52,0.03944,0.04493,0.03395,,0.0001406,79.8,,,,,,,
53,0.03877,0.04421,0.03333,,0.0001359,82.9,,,,,,,
54,0.03789,0.04338,0.0324,,0.0001312,83.5,,,,,,,
55,0.0377,0.0431,0.0323,0.81265,0.0001265,84.2,0.714,0.8262,0.9061,0.7445,0.8362,0.9274,0.7343
56,0.03749,0.04304,0.03193,,0.0001219,86.7,,,,,,,
57,0.03667,0.04212,0.03122,,0.0001173,85.8,,,,,,,
58,0.03612,0.04148,0.03075,,0.0001127,86.2,,,,,,,
59,0.03545,0.04074,0.03016,,0.0001082,85.6,,,,,,,
60,0.03512,0.04043,0.02981,0.83022,0.0001036,86.1,0.7012,0.8454,0.8994,0.7849,0.8761,0.9379,0.7666
61,0.03456,0.03982,0.02929,,9.92e-05,85.1,,,,,,,
62,0.03419,0.03944,0.02895,,9.48e-05,85.6,,,,,,,
63,0.03378,0.03896,0.0286,,9.04e-05,85.4,,,,,,,
64,0.03305,0.03815,0.02794,,8.61e-05,84.6,,,,,,,
65,0.03295,0.03824,0.02766,0.8283,8.19e-05,84.4,0.7351,0.8176,0.9064,0.793,0.8695,0.9381,0.7385
66,0.03265,0.03785,0.02745,,7.77e-05,85.3,,,,,,,
67,0.03194,0.03702,0.02686,,7.36e-05,84.5,,,,,,,
68,0.03169,0.03682,0.02655,,6.96e-05,84.4,,,,,,,
69,0.03105,0.03598,0.02612,,6.57e-05,84.7,,,,,,,
70,0.03091,0.03581,0.02602,0.82504,6.18e-05,84.7,0.7258,0.8169,0.8996,0.7867,0.8577,0.9414,0.7471
71,0.03061,0.03564,0.02558,,5.81e-05,85.0,,,,,,,
72,0.03041,0.03535,0.02548,,5.44e-05,85.5,,,,,,,
73,0.0302,0.03517,0.02523,,5.08e-05,85.6,,,,,,,
74,0.02958,0.03454,0.02463,,4.73e-05,83.0,,,,,,,
75,0.02931,0.03425,0.02438,0.81316,4.39e-05,81.0,0.6816,0.8177,0.8804,0.7781,0.8522,0.9391,0.7429
76,0.02916,0.03399,0.02433,,4.07e-05,80.6,,,,,,,
77,0.02894,0.03377,0.0241,,3.75e-05,80.9,,,,,,,
78,0.02859,0.03341,0.02376,,3.44e-05,80.6,,,,,,,
79,0.02832,0.03303,0.02362,,3.15e-05,80.8,,,,,,,
80,0.02808,0.03287,0.02329,0.82357,2.86e-05,80.7,0.7105,0.8229,0.8964,0.7842,0.8607,0.9394,0.7509
81,0.02809,0.03291,0.02326,,2.59e-05,80.6,,,,,,,
82,0.02782,0.03258,0.02306,,2.34e-05,80.7,,,,,,,
83,0.02758,0.03231,0.02285,,2.09e-05,81.0,,,,,,,
84,0.02751,0.03223,0.0228,,1.86e-05,80.8,,,,,,,
85,0.02743,0.03221,0.02265,0.82164,1.63e-05,80.8,0.707,0.8167,0.8907,0.7868,0.8583,0.9401,0.7519
86,0.02726,0.03198,0.02253,,1.43e-05,80.7,,,,,,,
87,0.02699,0.03168,0.0223,,1.23e-05,80.6,,,,,,,
88,0.0269,0.03158,0.02221,,1.05e-05,80.9,,,,,,,
89,0.02686,0.03155,0.02217,,8.9e-06,81.0,,,,,,,
90,0.0269,0.03157,0.02222,0.81745,7.3e-06,81.2,0.698,0.8172,0.8869,0.7804,0.8522,0.94,0.7473
91,0.02666,0.03135,0.02196,,6e-06,80.7,,,,,,,
92,0.02664,0.03131,0.02196,,4.7e-06,80.9,,,,,,,
93,0.02657,0.03128,0.02186,,3.6e-06,80.7,,,,,,,
94,0.02643,0.03108,0.02177,,2.7e-06,80.8,,,,,,,
95,0.02642,0.03107,0.02178,0.81778,1.8e-06,80.7,0.6986,0.8175,0.8848,0.7795,0.8518,0.9408,0.7515
96,0.02646,0.03112,0.02181,,1.2e-06,80.4,,,,,,,
97,0.02636,0.03106,0.02166,,7e-07,80.9,,,,,,,
98,0.02639,0.0311,0.02167,,3e-07,81.5,,,,,,,
99,0.0265,0.03132,0.02169,,1e-07,86.7,,,,,,,
100,0.0264,0.03103,0.02177,0.81908,0.0,84.7,0.7025,0.8196,0.8872,0.7804,0.8532,0.9403,0.7504
